unique_squirrel_id,x,y,hectare,shift,date,age,primary_fur_color,location,specific_location,eating,foraging,running,climbing
07F-PM-000-01,-73.98151145044379,40.764786329758074,07F,PM,101062018,Adult,Cinnamon,Above Ground,branch,false,true,false,true
11B-AM-001-02,-73.9781678434708,40.76514733396047,11B,AM,101072018,Adult,Black,Ground Plane,lawn,false,false,true,false
13A-AM-002-03,-73.97557692163184,40.76439044499742,13A,AM,101082018,Juvenile,Black,Ground Plane,near bench,false,false,false,false
14D-PM-003-04,-73.97308093351738,40.76505511020632,14D,PM,101092018,Juvenile,Gray,Ground Plane,lawn,false,true,false,false
16C-AM-004-05,-73.96958629718131,40.76451111983201,16C,AM,101102018,Juvenile,Black,Ground Plane,lawn,false,false,false,false
22A-AM-005-06,-73.96734632919939,40.765273401552534,22A,AM,101112018,Adult,Gray,Above Ground,trunk,false,true,false,true
32E-PM-006-07,-73.96402126881019,40.764648960507195,32E,PM,101122018,Adult,Cinnamon,Ground Plane,under tree,false,false,false,false
33B-AM-007-08,-73.96054116355211,40.764675356114005,33B,AM,101132018,Juvenile,Gray,Ground Plane,lawn,false,false,false,false
07F-AM-008-09,-73.95762051858317,40.764440057128155,07F,AM,101142018,Juvenile,Gray,Ground Plane,lawn,true,false,false,false
11B-PM-009-01,-73.95552275482865,40.7649994414581,11B,PM,101152018,Adult,Black,Ground Plane,lawn,true,true,false,false
13A-AM-010-02,-73.95268052750835,40.76458169365693,13A,AM,101162018,Juvenile,Cinnamon,Ground Plane,near bench,false,false,false,false
14D-AM-011-03,-73.94882962044133,40.76494654771634,14D,AM,101172018,Juvenile,Cinnamon,Above Ground,branch,false,true,true,false
16C-PM-012-04,-73.98149922710238,40.769510674689215,16C,PM,101182018,Juvenile,Cinnamon,Ground Plane,near bench,true,false,false,false
22A-AM-013-05,-73.97799068194375,40.770183528441486,22A,AM,101192018,Juvenile,Cinnamon,Ground Plane,under tree,false,true,true,false
32E-AM-014-06,-73.97560409042879,40.76952358107992,32E,AM,101202018,Adult,Black,Ground Plane,under tree,false,false,false,false
33B-PM-015-07,-73.97280834564322,40.77023070934859,33B,PM,101212018,Juvenile,Gray,Ground Plane,lawn,false,false,false,false
07F-AM-016-08,-73.96956283387678,40.76998844689575,07F,AM,101222018,Adult,Black,Ground Plane,near bench,false,true,true,false
11B-AM-017-09,-73.9674286362587,40.77028757502024,11B,AM,101232018,Juvenile,Black,Ground Plane,by path,true,false,true,false
