play_id,qtr,game_seconds_remaining,posteam_score,defteam_score,score_differential,half_seconds_remaining,posteam,defteam,side_of_field,yardline_100,down,ydstogo,play_type,passer_player_id,receiver_player_id,rusher_player_id,yards_gained,air_yards,yards_after_catch,epa,wpa,complete_pass,sack,penalty,fumble
57,1,3600,0,0,0,1800,SEA,NE,SEA,65,1,10,run,,,00-0038134,10,,,0.852111876942217,0.0137738883495331,0,0,0,0
84,1,3569,0,0,0,1769,SEA,NE,SEA,55,1,10,run,,,00-0038134,0,,,-0.509205609560013,-0.0181733667850494,0,0,0,0
106,1,3530,0,0,0,1730,SEA,NE,SEA,55,2,10,pass,00-0034869,00-0039793,,15,4,11,1.64877689350396,0.0679402947425842,1,0,0,0
131,1,3505,0,0,0,1705,SEA,NE,NE,40,1,10,pass,00-0034869,00-0033908,,23,21,2,1.54922463360708,0.047883927822113,1,0,0,0
161,1,3478,0,0,0,1678,SEA,NE,NE,17,1,10,pass,00-0034869,,,0,17,,-0.488335941568948,-0.0153862833976746,0,0,0,0
184,1,3471,0,0,0,1671,SEA,NE,NE,17,2,10,run,,,00-0038134,3,,,-0.513173454033677,-0.0119713544845581,0,0,0,0
206,1,3426,0,0,0,1626,SEA,NE,NE,14,3,7,pass,00-0034869,00-0037545,,0,12,,-1.01880006939063,-0.0471658110618591,0,0,0,0
485,1,3131,3,0,3,1331,SEA,NE,SEA,90,1,10,pass,00-0034869,00-0038543,,0,12,,-0.538644946413115,-0.0202246308326721,0,0,0,0
515,1,3126,3,0,3,1326,SEA,NE,SEA,90,2,10,pass,00-0034869,00-0038543,,4,4,0,-0.371464124182239,-0.0018230676651001,1,0,0,0
540,1,3082,3,0,3,1282,SEA,NE,SEA,86,3,6,pass,00-0034869,00-0038543,,0,32,,-1.23883474478498,-0.0351430475711823,0,0,0,0
710,1,2909,3,0,3,1109,SEA,NE,SEA,87,1,10,run,,,00-0038134,2,,,-0.476772394962609,-0.0131332874298096,0,0,0,0
739,1,2871,3,0,3,1071,SEA,NE,SEA,85,2,8,run,,,00-0038134,1,,,-0.487259536515921,-0.0209459662437439,0,0,0,0
761,1,2827,3,0,3,1027,SEA,NE,SEA,84,3,7,pass,00-0034869,00-0039793,,12,2,10,1.97600238770247,0.0555150508880615,1,0,0,0
786,1,2785,3,0,3,985,SEA,NE,SEA,72,1,10,run,,,00-0037545,-5,,,-1.28054041229188,-0.0363733768463135,0,0,0,0
808,1,2740,3,0,3,940,SEA,NE,SEA,77,2,15,pass,00-0034869,00-0038543,,0,5,,-0.809991558082402,-0.02351975440979,0,0,0,0
831,1,2737,3,0,3,937,SEA,NE,SEA,77,3,15,pass,00-0034869,00-0038543,,0,18,,-0.972202555742115,-0.0389858484268189,0,0,0,0
992,2,2650,3,0,3,850,SEA,NE,SEA,76,1,10,pass,00-0034869,00-0037545,,0,49,,-0.557798790745437,-0.018196702003479,0,0,0,0
1015,2,2644,3,0,3,844,SEA,NE,SEA,76,2,10,run,,,00-0038134,30,,,2.61956767155789,0.0774192810058594,0,0,0,0
1042,2,2617,3,0,3,817,SEA,NE,NE,46,1,10,pass,00-0034869,00-0038543,,0,0,,-0.505235958378762,-0.0175600647926331,0,0,0,0
1065,2,2614,3,0,3,814,SEA,NE,NE,46,2,10,run,,,00-0038134,29,,,2.51412899111165,0.0556561946868897,0,0,0,0
1092,2,2572,3,0,3,772,SEA,NE,NE,17,1,10,run,,,00-0038134,-2,,,-1.02242283389205,-0.025172233581543,0,0,0,0
1114,2,2529,3,0,3,729,SEA,NE,NE,19,2,12,pass,00-0034869,00-0033908,,0,-6,,-0.629401002195664,-0.0114769339561462,0,0,0,0
